City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
"chokurdakh,ru",70.6333,147.9167,51.28,63,98,6.82,RU,1626920078
"rikitea,pf",-23.1203,-134.9692,72.82,63,1,14.65,PF,1626920078
"longyearbyen,sj",78.2186,15.6401,42.64,70,20,3.44,SJ,1626920079
"madimba,tz",-10.4,40.3333,70.41,93,13,8.34,TZ,1626920079
"rzeszow,pl",50.0413,21.999,61.92,85,0,5.75,PL,1626920079
"kyzyl-mazhalyk,ru",51.1333,90.6,67.03,61,98,0.38,RU,1626920080
"arcata,us",40.8665,-124.0828,64.2,76,1,3.0,US,1626920080
"kargasok,ru",59.0556,80.8572,70.32,66,78,7.2,RU,1626920080
"punta arenas,cl",-53.15,-70.9167,37.11,100,75,3.44,CL,1626919865
"yerbogachen,ru",61.2767,108.0108,71.64,50,99,1.12,RU,1626919960
"la cruz,mx",23.9167,-106.9,83.46,69,59,3.0,MX,1626920081
"krasnovishersk,ru",60.4078,57.082,61.02,78,100,1.19,RU,1626920081
"hermanus,za",-34.4187,19.2345,43.9,68,39,14.0,ZA,1626920081
