City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
"ca mau,vn",9.1769,105.15,88.38,59,90,12.19,VN,1626923432
"ayagoz,kz",47.9714,80.4392,71.44,51,100,19.44,KZ,1626923683
"dano,bf",11.15,-3.0667,76.06,74,100,8.08,BF,1626923684
"novyy urengoy,ru",66.0833,76.6333,59.77,87,100,16.87,RU,1626923682
"black river,jm",18.0264,-77.8487,83.98,72,80,4.5,JM,1626923684
"catuday,ph",16.2923,119.8062,79.23,88,100,19.51,PH,1626923684
"vanimo,pg",-2.6741,141.3028,82.27,81,98,3.38,PG,1626923685
"argentan,fr",48.75,-0.0167,64.17,90,73,3.58,FR,1626923685
"hope,us",33.6671,-93.5916,78.85,69,5,4.56,US,1626923685
"sao gabriel da cachoeira,br",-0.1303,-67.0892,71.02,98,56,2.1,BR,1626923686
"taonan,cn",45.3333,122.7833,90.36,48,3,10.67,CN,1626923686
"tuatapere,nz",-46.1333,167.6833,49.82,70,84,5.46,NZ,1626923686
"mahon,es",39.8885,4.2658,75.76,88,0,3.44,ES,1626923687
"roma,au",-26.5833,148.7833,60.08,28,7,10.74,AU,1626923687
"katsuura,jp",35.1333,140.3,87.91,69,22,6.46,JP,1626923687
"khangarh,pk",29.9173,71.1618,86.07,57,43,6.93,PK,1626923688
"jamestown,sh",-15.9387,-5.7168,65.17,79,100,23.71,SH,1626923688
"sijunjung,id",-0.6876,100.9537,83.66,55,94,1.86,ID,1626923688
"linxia,cn",35.6003,103.2064,78.01,48,61,3.6,CN,1626923689
"kununurra,au",-15.7667,128.7333,87.78,15,87,3.44,AU,1626923689
"port alfred,za",-33.5906,26.891,48.04,80,88,33.04,ZA,1626923550
"kavaratti,in",10.5669,72.642,82.56,81,100,22.53,IN,1626923689
"la palma,pa",8.4028,-78.1453,78.06,93,100,1.72,PA,1626923690
"boddam,gb",57.4667,-1.7833,60.39,89,95,7.67,GB,1626923690
"cape town,za",-33.9258,18.4232,47.08,82,49,1.01,ZA,1626923690
"zapolyarnyy,ru",69.4154,30.8136,43.88,91,100,14.9,RU,1626923690
"les escoumins,ca",48.1111,-69.0236,49.32,95,94,3.31,CA,1626923691
"sertanopolis,br",-23.0586,-51.0364,57.27,42,0,4.65,BR,1626923691
"cockburn town,tc",21.4612,-71.1419,81.43,84,11,18.52,TC,1626923691
"broome,au",-17.9667,122.2333,78.75,69,9,6.91,AU,1626923692
"cravo norte,co",6.3017,-70.2041,75.04,90,100,1.86,CO,1626923692
"borodino,ru",55.9106,94.8983,70.68,64,1,4.07,RU,1626923692
