City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
"kapaa,us",22.0752,-159.319,82.38,80,75,3.0,US,1626920603
"istanbul,tr",41.0351,28.9833,75.06,73,0,12.66,TR,1626920604
"loandjili,cg",-4.7561,11.8578,73.51,83,90,5.75,CG,1626920604
"manchar,in",19.0,73.9333,71.74,94,100,15.01,IN,1626920604
"cartagena del chaira,co",1.3349,-74.8429,69.08,99,100,1.77,CO,1626920605
"novyy urengoy,ru",66.0833,76.6333,63.72,90,100,23.73,RU,1626920605
"kidal,ml",18.4411,1.4078,84.78,51,100,3.15,ML,1626920605
"calvinia,za",-31.4707,19.776,31.84,91,9,3.91,ZA,1626920605
"hilo,us",19.7297,-155.09,78.53,79,90,6.91,US,1626920359
"pacifica,us",37.6138,-122.4869,78.58,81,20,1.99,US,1626920606
"punta arenas,cl",-53.15,-70.9167,37.11,100,75,3.44,CL,1626919865
"manicore,br",-5.8092,-61.3003,75.15,94,0,0.0,BR,1626920606
"anadyr,ru",64.75,177.4833,57.7,62,20,8.95,RU,1626920564
"tezu,in",27.9167,96.1667,86.76,66,78,1.07,IN,1626920607
"lindi,tz",-10.0,39.7167,66.97,98,18,4.59,TZ,1626920607
"tocopilla,cl",-22.092,-70.1979,63.54,64,11,4.74,CL,1626920513
"pedernales,do",18.0384,-71.744,82.04,69,99,6.31,DO,1626920607
"jamestown,sh",-15.9387,-5.7168,65.43,78,100,23.26,SH,1626920608
"kindu,cd",-2.95,25.95,71.6,46,0,1.97,CD,1626920608
"sibolga,id",1.7427,98.7792,82.33,70,75,0.27,ID,1626920608
"port alfred,za",-33.5906,26.891,48.52,79,82,35.05,ZA,1626920609
"cape town,za",-33.9258,18.4232,44.11,92,75,3.0,ZA,1626920520
"nadym,ru",65.5333,72.5167,60.48,82,100,13.98,RU,1626920609
"broome,au",-17.9667,122.2333,75.15,83,20,5.75,AU,1626920610
"mayo,ca",63.5927,-135.8998,73.4,43,75,9.22,CA,1626920610
"mangan,in",27.5167,88.5333,79.95,84,100,1.34,IN,1626920610
"hithadhoo,mv",-0.6,73.0833,82.2,73,100,13.33,MV,1626920611
"barrow,us",71.2906,-156.7887,37.42,87,90,17.27,US,1626920403
"pevek,ru",69.7008,170.3133,42.71,69,2,8.46,RU,1626920611
"muli,mv",2.9167,73.5667,82.27,76,100,14.09,MV,1626920612
"muscatine,us",41.4667,-91.1335,78.64,76,20,4.61,US,1626920612
"beloha,mg",-25.1667,45.05,67.73,63,1,6.87,MG,1626920612
"zhuhai,cn",22.2769,113.5678,89.38,84,40,6.91,CN,1626920612
"marabba,sd",12.35,32.1833,75.0,85,100,12.08,SD,1626920613
"osinovo,ru",55.8809,48.881,62.69,91,100,2.82,RU,1626920613
"avarua,ck",-21.2078,-159.775,78.85,78,75,10.36,CK,1626920614
"kahului,us",20.8947,-156.47,82.42,69,40,25.32,US,1626920614
"butaritari,ki",3.0707,172.7902,82.92,74,33,12.44,KI,1626920614
"mallaig,gb",57.0065,-5.8294,53.98,94,7,5.91,GB,1626920615
"saskylakh,ru",71.9167,114.0833,63.34,55,100,16.87,RU,1626920615
"bluff,nz",-46.6,168.3333,49.8,57,32,8.39,NZ,1626920615
"alta floresta,br",-9.8756,-56.0861,72.21,40,0,3.85,BR,1626920616
"sa kaeo,th",13.75,102.3333,81.32,82,100,14.07,TH,1626920616
"ribeira grande,pt",38.5167,-28.7,67.98,73,32,12.71,PT,1626920617
"rikitea,pf",-23.1203,-134.9692,72.82,63,1,14.65,PF,1626920078
"puerto ayora,ec",-0.7393,-90.3518,71.55,94,99,5.99,EC,1626920380
"shingu,jp",33.7333,135.9833,86.99,70,87,9.91,JP,1626920617
"bambui,br",-20.0064,-45.9769,67.37,55,95,0.54,BR,1626920617
"lebu,cl",-37.6167,-73.65,51.22,92,100,3.87,CL,1626920618
"sindor,ru",62.8629,51.8905,47.53,83,39,3.51,RU,1626920618
"port-cartier,ca",50.0334,-66.8654,62.74,64,100,2.37,CA,1626920618
"nizhneudinsk,ru",54.9076,99.0276,65.73,88,100,1.72,RU,1626920619
"iralaya,hn",15.0,-83.2333,80.71,84,100,13.62,HN,1626920619
"iskateley,ru",67.6803,53.1512,44.76,85,11,11.12,RU,1626920619
"faanui,pf",-16.4833,-151.75,79.21,76,14,16.98,PF,1626920620
"diapaga,bf",12.0708,1.7889,78.51,68,33,7.09,BF,1626920620
"dudinka,ru",69.4058,86.1778,63.1,51,100,17.34,RU,1626920620
"olinda,br",-8.0089,-34.8553,76.73,69,75,12.66,BR,1626920621
"dikson,ru",73.5069,80.5464,48.58,68,100,14.07,RU,1626920491
"hambantota,lk",6.1241,81.1185,81.1,76,100,19.04,LK,1626920621
"palasa,in",18.7667,84.4167,82.71,77,97,4.74,IN,1626920621
"lavrentiya,ru",65.5833,-171.0,39.25,77,100,9.37,RU,1626920622
"hobart,au",-42.8794,147.3294,57.92,60,40,4.0,AU,1626920622
"kenai,us",60.5544,-151.2583,59.09,94,90,11.5,US,1626920622
"half moon bay,us",37.4636,-122.4286,78.55,74,20,10.36,US,1626920623
"esperance,au",-33.8667,121.9,55.45,60,88,15.75,AU,1626920623
"bardiyah,ly",31.7561,25.0865,77.02,80,1,15.75,LY,1626920623
"ushuaia,ar",-54.8,-68.3,37.06,75,90,3.44,AR,1626920624
"bela,pk",26.2271,66.3111,83.97,79,40,2.51,PK,1626920624
"bubaque,gw",11.2833,-15.8333,80.82,81,100,12.82,GW,1626920422
"tabou,ci",4.423,-7.3528,75.88,85,35,6.76,CI,1626920624
"quang ngai,vn",15.1167,108.8,83.35,69,100,1.97,VN,1626920334
"te anau,nz",-45.4167,167.7167,46.49,81,48,3.11,NZ,1626920625
"thompson,ca",55.7435,-97.8558,68.16,68,90,2.3,CA,1626920625
"mar del plata,ar",-38.0023,-57.5575,53.1,59,0,11.99,AR,1626920338
"bheramara,bd",24.0232,88.9925,82.18,85,100,7.78,BD,1626920626
"vaini,to",-21.2,-175.2,78.96,83,20,10.36,TO,1626920626
"waddan,ly",29.1614,16.139,76.19,56,0,3.29,LY,1626920626
"shitkino,ru",56.3703,98.3543,69.64,68,3,4.63,RU,1626920627
"busselton,au",-33.65,115.3333,53.04,69,86,4.25,AU,1626920627
"lingyuan,cn",41.24,119.4011,77.49,74,100,5.44,CN,1626920627
"palana,ru",59.1167,159.9667,55.83,69,100,18.66,RU,1626920627
"novobirilyussy,ru",56.9514,90.6661,66.2,66,95,2.73,RU,1626920628
"yellowknife,ca",62.456,-114.3525,72.28,60,20,4.0,CA,1626920628
"plettenberg bay,za",-34.0527,23.3716,48.18,76,97,21.27,ZA,1626920628
"hermanus,za",-34.4187,19.2345,43.9,68,39,14.0,ZA,1626920081
"bambous virieux,mu",-20.3428,57.7575,69.22,77,75,11.5,MU,1626920629
"belmonte,br",-15.8631,-38.8828,70.3,69,100,8.75,BR,1626920629
"jining,cn",35.405,116.5814,80.64,73,100,7.11,CN,1626920629
"tiksi,ru",71.6872,128.8694,40.78,92,100,7.65,RU,1626920630
"victoria,sc",-4.6167,55.45,76.26,83,75,17.27,SC,1626920630
"atuona,pf",-9.8,-139.0333,77.5,68,22,15.12,PF,1626920630
"khatanga,ru",71.9667,102.5,52.7,92,100,3.65,RU,1626920631
"marovoay,mg",-16.1,46.6333,73.54,68,0,6.15,MG,1626920631
"chokurdakh,ru",70.6333,147.9167,51.28,63,98,6.82,RU,1626920078
"talnakh,ru",69.4865,88.3972,62.13,51,100,12.53,RU,1626920632
"naze,jp",28.3667,129.4833,81.52,90,100,29.3,JP,1626920632
"quimper,fr",48.0,-4.1,70.63,73,0,5.75,FR,1626920632
"lahat,id",-3.8,103.5333,81.95,62,96,0.49,ID,1626920633
"carnarvon,au",-24.8667,113.6333,68.07,58,2,8.05,AU,1626920438
"pochutla,mx",15.7432,-96.4661,83.82,90,100,2.82,MX,1626920533
"mbanza-ngungu,cd",-5.25,14.8667,65.41,74,3,5.35,CD,1626920633
"norman wells,ca",65.282,-126.8329,78.84,38,75,8.05,CA,1626920633
"bredasdorp,za",-34.5322,20.0403,42.12,81,86,5.75,ZA,1626920634
"nikolskoye,ru",59.7035,30.7861,56.8,81,21,5.28,RU,1626920634
"kodiak,us",57.79,-152.4072,55.17,86,99,6.49,US,1626920634
"burnie,au",-41.0667,145.9167,52.92,78,100,6.06,AU,1626920551
"severo-kurilsk,ru",50.6789,156.125,53.73,89,82,3.02,RU,1626920451
"qaanaaq,gl",77.484,-69.3632,38.86,97,100,12.53,GL,1626920635
"tasiilaq,gl",65.6145,-37.6368,44.76,98,100,9.33,GL,1626920635
"husavik,is",66.0449,-17.3389,58.91,87,0,4.25,IS,1626920635
"castro,cl",-42.4721,-73.7732,49.48,93,90,12.66,CL,1626920635
"arraial do cabo,br",-22.9661,-42.0278,55.36,94,0,0.0,BR,1626920354
"bethel,us",41.3712,-73.414,71.92,79,1,4.61,US,1626920636
"fortuna,us",40.5982,-124.1573,72.19,73,20,4.0,US,1626920636
"tuktoyaktuk,ca",69.4541,-133.0374,64.4,88,40,12.66,CA,1626920636
"guerrero negro,mx",27.9769,-114.0611,71.29,79,94,18.52,MX,1626920637
"albany,au",-35.0169,117.8917,52.23,87,90,9.22,AU,1626920637
"cidreira,br",-30.1811,-50.2056,52.92,63,0,2.15,BR,1626920638
"sao joao da barra,br",-21.6403,-41.0511,67.01,81,100,5.03,BR,1626920638
"mareeba,au",-17.0,145.4333,81.32,55,51,5.3,AU,1626920638
"rostovka,ru",55.3842,71.8891,70.5,54,55,10.87,RU,1626920639
"adiake,ci",5.2863,-3.304,76.59,87,65,5.68,CI,1626920639
"pangody,ru",65.85,74.4859,59.18,84,100,17.52,RU,1626920639
"kaduqli,sd",11.0167,29.7167,72.12,91,99,4.56,SD,1626920639
